[2026-05-21 10:58:55] This is codeql database index-files --include-extension=.yaml --include-extension=.yml --also-match-lgtm-index-filters --size-limit=5m --language yaml -- D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\codeql_db
[2026-05-21 10:58:55] Log file was started late.
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\codeql_db\src\D_\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-server\authority...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\codeql_db\src\D_\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-server\bruteforce...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\codeql_db\src\D_\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-server\csrf...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\codeql_db\src\D_\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-server\download...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\codeql_db\src\D_\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-server\infoleak...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\codeql_db\src\D_\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-server\rce...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\codeql_db\src\D_\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-server\serialize...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\codeql_db\src\D_\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-server\sqli...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\codeql_db\src\D_\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-server\ssrf...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\codeql_db\src\D_\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-server\ssti...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\codeql_db\src\D_\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-server\upload...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\codeql_db\src\D_\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-server\urlredirect...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\codeql_db\src\D_\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-server\vcdefect...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\codeql_db\src\D_\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-server\xss...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\codeql_db\src\D_\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-server\xxe...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\codeql_db\trap...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\codeql_db\trap\python...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\codeql_db\working...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\codeql_db\working\trap_cache...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\codeql_db\working\trap_cache\1...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-client...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-client\dist...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-client\dist\css...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-client\dist\css\alt...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-client\dist\img...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-client\dist\js...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-client\pages...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-client\pages\authority...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-client\pages\authority\assist...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-client\pages\bruteforce...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-client\pages\bruteforce\assist...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-client\pages\csrf...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-client\pages\csrf\assist...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-client\pages\download...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-client\pages\download\assist...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-client\pages\infoleak...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-client\pages\infoleak\assist...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-client\pages\rce...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-client\pages\rce\assist...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-client\pages\serialize...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-client\pages\serialize\assist...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-client\pages\sqli...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-client\pages\sqli\assist...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-client\pages\ssrf...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-client\pages\ssrf\assist...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-client\pages\ssti...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-client\pages\ssti\assist...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-client\pages\upload...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-client\pages\upload\assist...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-client\pages\urlredirect...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-client\pages\urlredirect\assist...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-client\pages\vcdefect...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-client\pages\vcdefect\assist...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-client\pages\xss...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-client\pages\xss\assist...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-client\pages\xxe...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-client\pages\xxe\assist...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-client\plugins...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-client\plugins\bootstrap...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-client\plugins\bootstrap\js...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-client\plugins\fontawesome-free...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-client\plugins\fontawesome-free\css...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-client\plugins\fontawesome-free\webfonts...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-client\plugins\googleapis...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-client\plugins\jquery...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-client\plugins\overlayScrollbars...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-client\plugins\overlayScrollbars\css...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-client\plugins\overlayScrollbars\js...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-server...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-server\authority...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-server\authority\__pycache__...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-server\bruteforce...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-server\bruteforce\__pycache__...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-server\csrf...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-server\csrf\__pycache__...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-server\download...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-server\download\__pycache__...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-server\infoleak...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-server\infoleak\__pycache__...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-server\rce...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-server\rce\__pycache__...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-server\serialize...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-server\serialize\__pycache__...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-server\sqli...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-server\sqli\__pycache__...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-server\ssrf...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-server\ssrf\__pycache__...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-server\ssti...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-server\ssti\__pycache__...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-server\upload...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-server\upload\__pycache__...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-server\urlredirect...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-server\urlredirect\__pycache__...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-server\vcdefect...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-server\vcdefect\__pycache__...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-server\xss...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-server\xss\__pycache__...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-server\xxe...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-server\xxe\__pycache__...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-server\__pycache__...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pypi...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\reports...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\sqldata...
[2026-05-21 10:58:55] Plumbing command codeql resolve files completed:
                      [
                        "D:\\BaiduNetdiskDownload\\CCAM\\CCAMP\\pilot\\codeql_db\\codeql-database.yml",
                        "D:\\BaiduNetdiskDownload\\CCAM\\CCAMP\\pilot\\docker-compose.yml"
                      ]
[2026-05-21 10:58:55] [DETAILS] database index-files> Found 2 files.
[2026-05-21 10:58:55] [PROGRESS] database index-files> D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\codeql_db: Indexing files in in D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot...
[2026-05-21 10:58:55] Using index-files script D:\BaiduNetdiskDownload\codeql\yaml\tools\index-files.cmd.
[2026-05-21 10:58:55] [PROGRESS] database index-files> Running command in D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot: [D:\BaiduNetdiskDownload\codeql\yaml\tools\index-files.cmd, D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\codeql_db\working\files-to-index18060160399915207246.list]
[2026-05-21 10:58:55] Terminating normally.
